punto_atencion_id;departamento;ciudad;direccion
1;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
2;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
3;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
4;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
5;ARAUCA;ARAUCA;CRA 20 CLLE 22 PPAL CENTRO
6;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
7;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
8;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
9;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
10;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
11;ARAUCA;ARAUCA;CARRERA 20 N 26-73
12;ARAUCA;ARAUCA;CALLE 19 N CARRERA 38 ESQUINA
13;ARAUCA;ARAUCA;FRENTE A LA GOBERNACION
14;ARAUCA;ARAUCA;CARRERA 17 N 18-64
15;ARAUCA;ARAUCA;CALLE 24 N 22-14
16;ARAUCA;ARAUCA;CARRERA 24  26 87
17;ARAUCA;ARAUCA;KILOMETRO 1 BUENA VISTA TERMINAL 
18;ARAUCA;ARAUCA;CALLE 27 CON CARRERA 25 ESQUINA
19;ARAUCA;ARAUCA;CRR 20 N 21 42
20;ARAUCA;ARAUCA;CRA 19 19 06
21;ARAUCA;ARAUCA;CALLE 23 NO 15 77
22;ARAUCA;ARAUCA;CARRERA 41 18-61
23;ARAUCA;ARAUCA;VEREDA MONSERRATE
24;ARAUCA;ARAUCA;CARRERA 15 NO 13 17
25;ARAUCA;ARAUCA;CRA 19 NO 22 29
26;ARAUCA;ARAUCA;CLL 3 LOTE 176 BELLO HORIZONTE
27;ARAUCA;ARAUCA;BARRIO BELLO HORIZONTE
28;ARAUCA;ARAUCA;CR 19 N 22 29
29;ARAUCA;ARAUCA;CALLE 2 SUR N 10 58
30;ARAUCA;ARAUCA;CR 19 NO 22 29
31;ARAUCA;ARAUCA;CRA 20 NO 15 08
32;ARAUCA;ARAUCA;CR 19 NO 22 23
33;ARAUCA;ARAUCA;CALLE 23 N 15 77
34;ARAUCA;ARAUCA;MZ 6 CALLE 5 73
35;ARAUCA;ARAUCA;CRA 16N 27 01
36;ARAUCA;ARAUCA;MANZANA C CASA 14  ALTOS DE LA 
37;ARAUCA;ARAUCA;CALLE 24 N 11 49
38;ARAUCA;ARAUCA;CLL 23 N 9 40
39;ARAUCA;ARAUCA;BARRIO LLANO ALTO
40;ARAUCA;ARAUCA;CRA 20 N° 25 66
41;ARAUCA;ARAUCA;CRA 15 N 28 09
42;ARAUCA;ARAUCA;CRA 19 NO 22 31 CENTRO
43;ARAUCA;ARAUCA;CRA 15 N 23 24
44;ARAUCA;ARAUCA;VEREDA LAS NUBES 
45;ARAUCA;ARAUCA;CALLE 40 N 15 66
46;ARAUCA;ARAUCA;CLL 20 NO 6 03
47;ARAUCA;ARAUCA;CARERRA 5 N 22 LOCAL 9 PLAZA 
48;ARAUCA;ARAUCA;CALLE 12
49;ARAUCA;ARAUCA;CALLE 20 22 26
50;ARAUCA;ARAUCA;CLL 12 NO 10 47 
51;ARAUCA;ARAUCA;CLL 12 NO 7 55
52;ARAUCA;ARAUCA;CRA 39A 18 04
53;ARAUCA;ARAUCA;KM 2 VIA CANO LIMON 
54;ARAUCA;ARAUCA;CLL15 NO 22 38
55;ARAUCA;ARAUCA;CR 34E NO 2A 20 MZ 5 CASA 27
56;ARAUCA;ARAUCA;CALLE 18B NO 35A 04
57;ARAUCA;ARAUCA;CR 11 MZ 19 CASA 3
58;ARAUCA;ARAUCA;CRA 15 N 16 52
59;ARAUCA;ARAUCA;  CR 19E 1 20
60;ARAUCA;ARAUCA;KRA 31B N 20 39 
61;ARAUCA;ARAUCA;AVENIDA QUINTA N 18 10
62;ARAUCA;ARAUCA;CALLE 31  20 - 2A
63;ARAUCA;ARAUQUITA;CR3 CON CUARTA ESQUINA NO 3 74 
64;ARAUCA;ARAUQUITA;CR3 CON CUARTA ESQUINA NO 3 74 
65;ARAUCA;ARAUQUITA;CR3 CON CUARTA ESQUINA NO 3 74 
66;ARAUCA;ARAUQUITA;CR3 CON CUARTA ESQUINA NO 3 74 
67;ARAUCA;ARAUQUITA;CRA 3 NO 3 74B
68;ARAUCA;ARAUQUITA;CALLE 7AN 9A 20 30
69;ARAUCA;ARAUQUITA;CARRERA 4 02 07 CENTRO POBLADO 
70;ARAUCA;ARAUQUITA;ARAUQUITA
71;ARAUCA;ARAUQUITA;CALLE  4 N 8A 17  B LAS PALMERAS 
72;ARAUCA;ARAUQUITA;CLL 1 NO 3 71 CENTRO
73;ARAUCA;ARAUQUITA;VEREDA AGUACHICA
74;ARAUCA;ARAUQUITA;VEREDA MAZAGUARO
75;ARAUCA;ARAUQUITA;VDA GAVIOTAS
76;ARAUCA;ARAUQUITA;MZ 2 CASA 7
77;ARAUCA;ARAUQUITA;VDA AGUACHICA
78;ARAUCA;ARAUQUITA;PARQUE PRINCIPAL
79;ARAUCA;ARAUQUITA;VEREDA LA PAZ
80;ARAUCA;ARAUQUITA;CALLE 14 N 15 22
81;ARAUCA;CRAVO NORTE;CRA 6 NO 4 ESQUINA
82;ARAUCA;CRAVO NORTE;CRA 12 1B 58
83;ARAUCA;CRAVO NORTE;CALLE 6 # 3 - 32
84;ARAUCA;FORTUL;CLLE 7 NO 22 36 B CENTRO
85;ARAUCA;FORTUL;CLLE 7 NO 22 36 B CENTRO
86;ARAUCA;FORTUL;CLLE 7 NO 22 36 B CENTRO
87;ARAUCA;FORTUL;VEREDA LA PRIMAVERA
88;ARAUCA;FORTUL;CALLE 7N 24 11
89;ARAUCA;FORTUL;VEREDA PUENTE TABLA
90;ARAUCA;FORTUL;CALLE 7  12 05
91;ARAUCA;FORTUL;NUEVO FORTUL
92;ARAUCA;FORTUL;VIA PRINCIPAL
93;ARAUCA;FORTUL;CLL 7 CRA 21 32
94;ARAUCA;FORTUL;VEREDA SITIO NUEVO
95;ARAUCA;FORTUL;VDA PUERTO LLERAS
96;ARAUCA;FORTUL;BARRIO CABRESTEROS
97;ARAUCA;FORTUL;VDA PALMARITO
98;ARAUCA;FORTUL;CLL 7 N 21 60
99;ARAUCA;PUERTO RONDÓN;CLLE 2 NO 4 78 CENTRO
100;ARAUCA;PUERTO RONDÓN;CALLE 1 CON CRA 3 CENTRO
101;ARAUCA;PUERTO RONDÓN;BARRIO FLOR DE MI LLANO
102;ARAUCA;PUERTO RONDÓN;CLL 5 N 1 A 16
103;ARAUCA;PUERTO RONDÓN;CLL 5 N 1A 16
104;ARAUCA;PUERTO RONDÓN;CALLE 5 1A  16
105;ARAUCA;SARAVENA;CARRERA 13 N 21 70 
106;ARAUCA;SARAVENA;CALLE 28 N 18 65
107;ARAUCA;SARAVENA;CALLE 28 N 18 65
108;ARAUCA;SARAVENA;CALLE 27 N 13-32
109;ARAUCA;SARAVENA;CALLE 28 N 18 65
110;ARAUCA;SARAVENA;CALLE 28 N 18 65
111;ARAUCA;SARAVENA;CALLE 28 N 18 65
112;ARAUCA;SARAVENA;CALLE 20 N 18 70
113;ARAUCA;SARAVENA;CALLE 4 NO 2 45
114;ARAUCA;SARAVENA;CRA 16 NO 24 25
115;ARAUCA;SARAVENA;CRA 15 N 25 67
116;ARAUCA;SARAVENA;CRA 15 25 67
117;ARAUCA;SARAVENA;CRA 16 CALLE 29 80
118;ARAUCA;SARAVENA;CALLE 22 NRO 10 20
119;ARAUCA;SARAVENA;CALLE 27 NRO 13 27
120;ARAUCA;SARAVENA;VDA PUERTO CONTRERAS
121;ARAUCA;SARAVENA;CRA 27 20 43
122;ARAUCA;SARAVENA;CLL29 12 02
123;ARAUCA;SARAVENA;CALLE 20N 30 ESQUINA
124;ARAUCA;SARAVENA;CRA 2 CLL 2
125;ARAUCA;SARAVENA;CRA 16 N 27 05
126;ARAUCA;SARAVENA;AV 30 NO 16 52
127;ARAUCA;SARAVENA;VDA PUERTO LLERAS
128;ARAUCA;SARAVENA;CLL 25A N 3 39
129;ARAUCA;SARAVENA;CRA 15 N 25 67
130;ARAUCA;SARAVENA;BARRIO 6 DE OCTUBRE
131;ARAUCA;SARAVENA;BARRIO VILLABEL
132;ARAUCA;SARAVENA;CRA 14 26 74
133;ARAUCA;SARAVENA;CLL29 12 02
134;ARAUCA;SARAVENA;CALLE 27 16 38
135;ARAUCA;SARAVENA;CLL 20 CRA 26 34
136;ARAUCA;SARAVENA;CLL 30 17 - 129 
137;ARAUCA;SARAVENA;CRA 9 N 16 - 02
138;ARAUCA;SARAVENA;VDA BARRANCONES
139;ARAUCA;SARAVENA;CLL20 N 32  27
140;ARAUCA;SARAVENA;CRA 18 N 16 11
141;ARAUCA;SARAVENA;CRA 30A N 18 65
142;ARAUCA;TAME;CASERIO VDA SANTO DOMINGO
143;ARAUCA;TAME;CALLE 14 N 15 22
